set_point,position_error,current
20.96,0.801784,0.48111111440678
21.92,2.038552,0.3949737470588229
22.879999999999995,2.849675,0.698819747058823
23.840000000000003,3.551255,0.9849837470588232
24.8,3.353481,1.245724747058823
25.760000000000005,4.562086,1.209041747058823
26.72,4.920917,1.1879377470588228
27.68,5.100477,1.107576747058823
28.64,4.849824,1.1409447470588232
29.6,4.503897,1.0881727470588232
30.56,4.328125,1.1093047470588229
31.52,4.297443,1.0796707470588232
32.48,3.835938,1.0675187470588232
33.44,3.635766,1.0292607470588229
34.4,3.242451,1.1105847470588228
35.36,2.954527,1.049843747058823
36.32,2.497714,1.0572157470588228
37.28,2.20442,1.016937747058823
38.24,1.731291,1.118321747058823
39.2,1.649811,1.0552177470588229
40.16,1.07717,1.0678877470588228
41.12,0.466944,1.027749747058823
42.08,0.453918,1.155369747058823
43.04,0.73161,1.1271047470588231
44.0,0.817781,1.0986067470588232
44.96000000000001,0.320067,1.103179747058823
45.92,0.302127,1.1108287470588232
46.88,0.040856,1.1587647470588232
47.84,0.457001,1.0831347470588228
48.8,0.031111,1.087844747058823
49.75999999999999,0.169958,1.1008277470588228
50.72,0.170399,1.0734667470588228
51.68000000000001,0.215111,1.116708747058823
52.64,-0.458913,1.120434747058823
53.6,0.05222,1.0673857470588228
54.56,0.015587,1.109372747058823
55.52000000000001,-0.029162,1.1257707470588232
56.47999999999999,-0.165755,1.105585747058823
57.44,-0.153227,1.119220747058823
58.400000000000006,-0.264049,1.099878747058823
59.36,-0.500615,1.141899747058823
60.31999999999999,-0.136382,1.119646747058823
61.28,-0.246622,1.1532047470588231
62.24000000000001,-0.013378,1.0721547470588229
63.2,-0.209287,1.146468747058823
64.16,0.07473,1.0559447470588228
65.12,-0.253012,1.146150747058823
66.08,-0.297051,1.1372977470588228
67.04,-0.161463,1.125200747058823
68.0,-0.004858,1.095942747058823
68.96,-0.249846,1.164195747058823
69.92,-0.207467,1.0937357470588231
70.88,0.046294,1.155160747058823
71.84,0.079899,1.1185467470588228
72.8,0.137668,1.111075747058823
73.76,0.075274,1.116456747058823
74.72,-0.011706,1.124860747058823
75.68,-0.210514,1.1321037470588229
76.64,-0.148681,1.121352747058823
77.6,-0.248749,1.157680747058823
78.56,-0.17848,1.1496507470588229
79.52,0.146976,1.0937807470588232
80.48,-0.04866,1.152552747058823
81.44,0.028934,1.0869047470588231
82.4,0.052379,1.074553747058823
83.36,0.037728,1.1053047470588229
84.32,-0.082141,1.153193747058823
85.28,0.20437,1.101007747058823
86.24,-0.060634,1.122376747058823
87.2,0.162421,1.1039827470588228
88.16,-0.085475,1.144854747058823
89.12,-0.059411,1.145191747058823
90.08,0.12373,1.092977747058823
91.04,0.204519,1.1186097470588232
92.0,-0.04096,1.1234607470588232
92.96,-0.132141,1.134579747058823
93.92,-0.234173,1.123595747058823
94.88,0.141546,1.1071697470588229
95.84,0.049944,1.101149747058823
96.8,0.417744,1.0829747470588231
97.76,-0.007441,1.112739747058823
98.72,0.153168,1.076035747058823
99.68,-0.017192,1.0918397470588228
100.64,0.373379,1.0660167470588229
101.6,0.074253,1.0770527470588231
102.56,-0.155492,1.1451857470588231
103.52,-0.279959,1.1057867470588232
104.48,-0.17283,1.149120747058823
105.44,0.066148,1.1058437470588232
106.4,-0.010991,1.123614747058823
107.36,-0.036317,1.0750477470588231
108.32,0.145813,1.098080747058823
109.28,-0.096688,1.091933747058823
110.24,-0.067652,1.1337907470588229
111.2,-0.201969,1.1308507470588232
112.16,-0.257588,1.104584747058823
113.12,-0.392712,1.186153747058823
114.07999999999998,-0.15412,1.1386387470588228
115.04000000000002,0.160956,1.0919387470588229
116.0,-0.138803,1.170150747058823
116.95999999999998,0.115746,1.0831477470588229
117.92000000000002,-0.093616,1.1663497470588229
118.88,0.127214,1.1121387470588229
119.84,0.1068,1.121479747058823
120.8,0.261805,1.079246747058823
121.76,0.195508,1.115574747058823
122.72,0.012547,1.102982747058823
123.68,-0.019408,1.1130217470588228
